tweet_id,created_at,text,replies,retweets,likes
2018975554633093373,2026-02-04T09:10:57.000Z,"The Islamic Republic of #Iran extends its sincere congratulations to the people and government of #SriLanka on the occasion of Independence Day.
We are determined to promote bilateral relations and cooperation in all areas.",7.0,16,125
2025503328411738433,2026-02-22T09:30:00.000Z,"Iranian FM, IAEA head discuss Iran’s nuclear talks with US 

The Director General of the International Atomic Energy Agency (IAEA), Rafael Grossi, had a phone conversation on Saturday evening with the Foreign Minister of the Islamic Republic of Iran, Seyed Abbas Araghchi,",13.0,23,88
2018243986515787852,2026-02-02T08:43:58.000Z,"Iran strongly censures Zionist regime for airstrikes on Lebanon 

The Spokesperson for the Iranian Ministry of Foreign Affairs, Esmail Baqaei, strongly condemned the #Zionist_Regime’s extensive airstrikes on various regions of #Lebanon, particularly residential areas in the south",25.0,61,220
2003910297967321133,2025-12-24T19:27:00.000Z,"Iranian Foreign Ministry spokesman welcomes POW exchange between #Yemen, #Saudi_Arabia

Iran’s Foreign Ministry Spokesperson Esmail Baqaei has welcomed the POW exchange agreement between Yemen and Saudi Arabia. 
Baqaei appreciated the important role played by Oman in facilitating",9.0,15,63
2023458237731803608,2026-02-16T18:03:32.000Z,"#Iran, #Oman FMs Meet in Geneva Amid Ongoing Indirect Nuclear Talks 

Seyed Abbas Araghchi, Foreign Minister of the Islamic Republic of Iran, who is in Geneva for indirect Iran–U.S. nuclear negotiations and discussions on sanctions removal, met Monday afternoon with Sayyid Badr",10.0,22,72
2025145176864276600,2026-02-21T09:46:50.000Z,"Iran condemns Zionist regime’s attack on Lebanon 

The spokesperson for the Iranian Foreign Ministry, Esmail Baqaei, strongly condemned the attacks by the #Zionist_Regime on #Lebanon on Friday, including the Beqaa region and the Palestinian refugee camp of Ain al-Hilweh in Sidon,",15.0,75,278
2001366739414614423,2025-12-17T18:59:48.000Z,"Iranian FM visits the Moscow State Institute of International Relations and meets with professors and students 

Iranian Foreign Minister Seyed Abbas Araghchi, who traveled to Moscow for an official visit to Russia, attended the Moscow State Institute of International Relations",1.0,10,26
2025284315156738138,2026-02-21T18:59:43.000Z,"Statement Regarding the Reciprocal Action in Response to the Illegal Decision of the #EU Member States to Label a Part of the Armed Forces of the Islamic Republic of Iran 

February 21, 2026 

The Ministry of Foreign Affairs of the Islamic Republic of Iran, in response to the",37.0,182,648
1998105657107521698,2025-12-08T19:01:26.000Z,"Iran FM delivers speech at Baku State University 

Iran's Foreign Minister, Seyed Abbas Araghchi, who has traveled to Baku for talks with senior officials of the Republic of Azerbaijan, attended a gathering of professors and students at Baku State University on Monday evening.",5.0,6,27
2026914653645738379,2026-02-26T06:58:06.000Z,"Third round of Iran–U.S. nuclear talks begins with meeting Between Iranian, Omani Foreign Ministers 

Seyed Abbas Araghchi, Foreign Minister of the Islamic Republic of Iran, who has traveled to Geneva for the third round of Iran–U.S. nuclear negotiations, met on Wednesday evening",14.0,53,240
