tweet_id,created_at,text,replies,retweets,likes
2021978961371414861,2026-02-12T16:05:25.000Z,"Dear Iranian nation. By God’s grace, you carried out this great feat yesterday, and Almighty God shall reward the nation for such a presence and such a monumental movement. That reward will be greater honor, authority, and independence, God willing.",119,407,3K
2023701874277232755,2026-02-17T10:11:40.000Z,"On the eve of the anniversary of the historic uprising of the people of Tabriz on Feb. 18, 1978, thousands of people from various walks of life from East Azerbaijan Province met this morning with the Leader of the Islamic Revolution, Imam Khamenei.",208,440,3.1K
2023747790632087891,2026-02-17T13:14:07.000Z,"The fact that nuclear energy is our undeniable right has been also included in the guidelines of the International Atomic Energy Agency. That is, all countries have the right to own nuclear and enrichment installations. This is among a nation’s rights. Why does the US interfere?!",1.4K,1.8K,9.6K
2023818179496341793,2026-02-17T17:53:49.000Z,"This island of corruption is only one example. There is much more of this. Just as this was not apparent and then became exposed, there are many other things that will soon come to light.",1.4K,5.6K,28K
2033252456298119348,2026-03-15T18:42:16.000Z,"The US’s interference in various parts of the world is one of the factors that’s causing it to become more isolated and detested in the world day by day.

Nov. 27, 2025",1.7K,3.3K,22K
2034678436308881860,2026-03-19T17:08:36.000Z,"The US empire is in decline.
Feb. 17, 2026",4.6K,12K,75K
2020810780355055978,2026-02-09T10:43:29.000Z,The 22nd of Bahman rallies commemorating victory anniv. of Islamic Revolution are unparalleled in the world. We do not know of any nation that commemorates its independence day or national day in this manner each year after the passage of so many years & with such massive crowds.,169,298,2K
2021978959114907837,2026-02-12T16:05:25.000Z,"The hopes of the enemies, who in their rhetoric and scheming are seeking the surrender of the Iranian nation, have been frustrated yesterday.",390,702,4.3K
2021991798156181641,2026-02-12T16:56:26.000Z,This national solidarity is invaluable. Let us strive to preserve our national unity and solidarity.,372,466,3.7K
2040025973089853802,2026-04-03T11:17:48.000Z,"When we say that a spirit of savagery exists in the West, some people express their surprise and deny this fact. This savage behavior is a symbol showing the Wild West is being revived.

April 9, 2020",742,4K,13K
