tweet_id,created_at,text,replies,retweets,likes
1900670438260257276,2025-03-14T22:08:39.000Z,"""Our predecessors turned the Department of Justice into the Department of INJUSTICE.

I stand before you today to declare that those days are OVER —  and they are never going to come back."" - President Donald J. Trump ",2.6K,6.5K,34K
1901406082800459809,2025-03-16T22:51:51.000Z,,10K,24K,174K
1899241026302169317,2025-03-10T23:28:41.000Z,"Sean Curran Sworn In as the 28th Director of the United States 
@SecretService
 in the Oval Office, Joined by President Donald J. Trump ",1.7K,6.8K,39K
1899980394604175778,2025-03-13T00:26:40.000Z,"""We’re gathered to celebrate the deep and abiding ties of history, family, and friendship that bind together Ireland and the United States of America.

America has truly been blessed by the courage and unstoppable spirit of the Irish."" –President Donald J. Trump ",2.5K,5.4K,35K
1901011700343861315,2025-03-15T20:44:43.000Z,"""To all Houthi terrorists, YOUR TIME IS UP..."" –President Donald J. Trump",9.9K,14K,70K
1899561031996985814,2025-03-11T20:40:16.000Z,"President Donald J. Trump and 
@ElonMusk
 ",3.1K,4.2K,36K
1900741103424286723,2025-03-15T02:49:27.000Z,"""Today the fugitive leader of ISIS in Iraq was killed. He was relentlessly hunted down by our intrepid warfighters. His miserable life was terminated, along with another member of ISIS, in coordination with the Iraqi Government and the Kurdish Regional Government. PEACE THROUGH",6.5K,19K,113K
